2020-06-04 09:55:36,009 | koubei_autohome.py | INFO  | 车系：{'I': 5240, 'N': '奥迪Q2L e-tron'} 口碑数据获取中...
2020-06-04 09:55:36,372 | koubei_autohome.py | INFO  | 车系：{'I': 5240, 'N': '奥迪Q2L e-tron'} 口碑数据获取完成!
2020-06-04 09:55:36,374 | koubei_autohome.py | INFO  | 车系：{'I': 5240, 'N': '奥迪Q2L e-tron'} 获取记录保存成功!
2020-06-04 09:55:36,375 | koubei_autohome.py | INFO  | 车系：{'I': 2951, 'N': '奥迪Q3'} 口碑数据获取中...
2020-06-04 09:55:36,506 | koubei_autohome.py | INFO  | 车系：{'I': 2951, 'N': '奥迪Q3'} 口碑数据获取完成!
2020-06-04 09:55:36,507 | koubei_autohome.py | INFO  | 车系：{'I': 2951, 'N': '奥迪Q3'} 获取记录保存成功!
2020-06-04 09:55:36,509 | koubei_autohome.py | INFO  | 车系：{'I': 4851, 'N': '奥迪Q5L'} 口碑数据获取中...
2020-06-04 09:55:36,625 | koubei_autohome.py | INFO  | 车系：{'I': 4851, 'N': '奥迪Q5L'} 口碑数据获取完成!
2020-06-04 09:55:36,626 | koubei_autohome.py | INFO  | 车系：{'I': 4851, 'N': '奥迪Q5L'} 获取记录保存成功!
2020-06-04 09:55:36,627 | koubei_autohome.py | INFO  | 车系：{'I': 19, 'N': '奥迪A4(停售)'} 口碑数据获取中...
2020-06-04 09:55:36,737 | koubei_autohome.py | INFO  | 车系：{'I': 19, 'N': '奥迪A4(停售)'} 口碑数据获取完成!
2020-06-04 09:55:36,738 | koubei_autohome.py | INFO  | 车系：{'I': 19, 'N': '奥迪A4(停售)'} 获取记录保存成功!
2020-06-04 09:55:36,739 | koubei_autohome.py | INFO  | 车系：{'I': 509, 'N': '奥迪A6(停售)'} 口碑数据获取中...
2020-06-04 09:55:36,855 | koubei_autohome.py | INFO  | 车系：{'I': 509, 'N': '奥迪A6(停售)'} 口碑数据获取完成!
2020-06-04 09:55:36,856 | koubei_autohome.py | INFO  | 车系：{'I': 509, 'N': '奥迪A6(停售)'} 获取记录保存成功!
2020-06-04 09:55:36,857 | koubei_autohome.py | INFO  | 车系：{'I': 812, 'N': '奥迪Q5(停售)'} 口碑数据获取中...
2020-06-04 09:55:36,982 | koubei_autohome.py | INFO  | 车系：{'I': 812, 'N': '奥迪Q5(停售)'} 口碑数据获取完成!
2020-06-04 09:55:36,983 | koubei_autohome.py | INFO  | 车系：{'I': 812, 'N': '奥迪Q5(停售)'} 获取记录保存成功!
2020-06-04 09:55:36,984 | koubei_autohome.py | INFO  | 车系：{'I': 511, 'N': '奥迪R8'} 口碑数据获取中...
2020-06-04 09:55:37,088 | koubei_autohome.py | INFO  | 车系：{'I': 511, 'N': '奥迪R8'} 口碑数据获取完成!
2020-06-04 09:55:37,089 | koubei_autohome.py | INFO  | 车系：{'I': 511, 'N': '奥迪R8'} 获取记录保存成功!
2020-06-04 09:55:37,091 | koubei_autohome.py | INFO  | 车系：{'I': 2731, 'N': '奥迪RS 3'} 口碑数据获取中...
2020-06-04 09:55:37,435 | koubei_autohome.py | INFO  | 车系：{'I': 2731, 'N': '奥迪RS 3'} 口碑数据获取完成!
2020-06-04 09:55:37,436 | koubei_autohome.py | INFO  | 车系：{'I': 2731, 'N': '奥迪RS 3'} 获取记录保存成功!
2020-06-04 09:55:37,437 | koubei_autohome.py | INFO  | 车系：{'I': 2733, 'N': '奥迪RS 4'} 口碑数据获取中...
2020-06-04 09:55:37,559 | koubei_autohome.py | INFO  | 车系：{'I': 2733, 'N': '奥迪RS 4'} 口碑数据获取完成!
2020-06-04 09:55:37,561 | koubei_autohome.py | INFO  | 车系：{'I': 2733, 'N': '奥迪RS 4'} 获取记录保存成功!
2020-06-04 09:55:37,562 | koubei_autohome.py | INFO  | 车系：{'I': 2735, 'N': '奥迪RS 5'} 口碑数据获取中...
2020-06-04 09:55:37,669 | koubei_autohome.py | INFO  | 车系：{'I': 2735, 'N': '奥迪RS 5'} 口碑数据获取完成!
2020-06-04 09:55:37,671 | koubei_autohome.py | INFO  | 车系：{'I': 2735, 'N': '奥迪RS 5'} 获取记录保存成功!
2020-06-04 09:55:37,672 | koubei_autohome.py | INFO  | 车系：{'I': 2737, 'N': '奥迪RS 6'} 口碑数据获取中...
2020-06-04 09:55:37,790 | koubei_autohome.py | INFO  | 车系：{'I': 2737, 'N': '奥迪RS 6'} 口碑数据获取完成!
2020-06-04 09:55:37,792 | koubei_autohome.py | INFO  | 车系：{'I': 2737, 'N': '奥迪RS 6'} 获取记录保存成功!
2020-06-04 09:55:37,793 | koubei_autohome.py | INFO  | 车系：{'I': 2994, 'N': '奥迪RS 7'} 口碑数据获取中...
2020-06-04 09:55:37,899 | koubei_autohome.py | INFO  | 车系：{'I': 2994, 'N': '奥迪RS 7'} 口碑数据获取完成!
2020-06-04 09:55:37,900 | koubei_autohome.py | INFO  | 车系：{'I': 2994, 'N': '奥迪RS 7'} 获取记录保存成功!
2020-06-04 09:55:37,901 | koubei_autohome.py | INFO  | 车系：{'I': 2741, 'N': '奥迪TT RS'} 口碑数据获取中...
2020-06-04 09:55:38,026 | koubei_autohome.py | INFO  | 车系：{'I': 2741, 'N': '奥迪TT RS'} 口碑数据获取完成!
2020-06-04 09:55:38,027 | koubei_autohome.py | INFO  | 车系：{'I': 2741, 'N': '奥迪TT RS'} 获取记录保存成功!
2020-06-04 09:55:38,028 | koubei_autohome.py | INFO  | 车系：{'I': 650, 'N': '奥迪A1'} 口碑数据获取中...
2020-06-04 09:55:38,139 | koubei_autohome.py | INFO  | 车系：{'I': 650, 'N': '奥迪A1'} 口碑数据获取完成!
2020-06-04 09:55:38,140 | koubei_autohome.py | INFO  | 车系：{'I': 650, 'N': '奥迪A1'} 获取记录保存成功!
2020-06-04 09:55:38,142 | koubei_autohome.py | INFO  | 车系：{'I': 370, 'N': '奥迪A3(进口)'} 口碑数据获取中...
2020-06-04 09:55:38,254 | koubei_autohome.py | INFO  | 车系：{'I': 370, 'N': '奥迪A3(进口)'} 口碑数据获取完成!
2020-06-04 09:55:38,255 | koubei_autohome.py | INFO  | 车系：{'I': 370, 'N': '奥迪A3(进口)'} 获取记录保存成功!
2020-06-04 09:55:38,257 | koubei_autohome.py | INFO  | 车系：{'I': 471, 'N': '奥迪A4(进口)'} 口碑数据获取中...
2020-06-04 09:55:38,368 | koubei_autohome.py | INFO  | 车系：{'I': 471, 'N': '奥迪A4(进口)'} 口碑数据获取完成!
2020-06-04 09:55:38,369 | koubei_autohome.py | INFO  | 车系：{'I': 471, 'N': '奥迪A4(进口)'} 获取记录保存成功!
2020-06-04 09:55:38,370 | koubei_autohome.py | INFO  | 车系：{'I': 538, 'N': '奥迪A5'} 口碑数据获取中...
2020-06-04 09:55:38,476 | koubei_autohome.py | INFO  | 车系：{'I': 538, 'N': '奥迪A5'} 口碑数据获取完成!
2020-06-04 09:55:38,477 | koubei_autohome.py | INFO  | 车系：{'I': 538, 'N': '奥迪A5'} 获取记录保存成功!
2020-06-04 09:55:38,478 | koubei_autohome.py | INFO  | 车系：{'I': 472, 'N': '奥迪A6(进口)'} 口碑数据获取中...
2020-06-04 09:55:38,592 | koubei_autohome.py | INFO  | 车系：{'I': 472, 'N': '奥迪A6(进口)'} 口碑数据获取完成!
2020-06-04 09:55:38,593 | koubei_autohome.py | INFO  | 车系：{'I': 472, 'N': '奥迪A6(进口)'} 获取记录保存成功!
2020-06-04 09:55:38,594 | koubei_autohome.py | INFO  | 车系：{'I': 740, 'N': '奥迪A7'} 口碑数据获取中...
2020-06-04 09:55:38,707 | koubei_autohome.py | INFO  | 车系：{'I': 740, 'N': '奥迪A7'} 口碑数据获取完成!
2020-06-04 09:55:38,708 | koubei_autohome.py | INFO  | 车系：{'I': 740, 'N': '奥迪A7'} 获取记录保存成功!
2020-06-04 09:55:38,709 | koubei_autohome.py | INFO  | 车系：{'I': 146, 'N': '奥迪A8'} 口碑数据获取中...
2020-06-04 09:55:38,823 | koubei_autohome.py | INFO  | 车系：{'I': 146, 'N': '奥迪A8'} 口碑数据获取完成!
2020-06-04 09:55:38,824 | koubei_autohome.py | INFO  | 车系：{'I': 146, 'N': '奥迪A8'} 获取记录保存成功!
2020-06-04 09:55:38,825 | koubei_autohome.py | INFO  | 车系：{'I': 3894, 'N': '奥迪e-tron(进口)'} 口碑数据获取中...
2020-06-04 09:55:38,934 | koubei_autohome.py | INFO  | 车系：{'I': 3894, 'N': '奥迪e-tron(进口)'} 口碑数据获取完成!
2020-06-04 09:55:38,935 | koubei_autohome.py | INFO  | 车系：{'I': 3894, 'N': '奥迪e-tron(进口)'} 获取记录保存成功!
2020-06-04 09:55:38,936 | koubei_autohome.py | INFO  | 车系：{'I': 2264, 'N': '奥迪Q3(进口)'} 口碑数据获取中...
2020-06-04 09:55:39,046 | koubei_autohome.py | INFO  | 车系：{'I': 2264, 'N': '奥迪Q3(进口)'} 口碑数据获取完成!
2020-06-04 09:55:39,048 | koubei_autohome.py | INFO  | 车系：{'I': 2264, 'N': '奥迪Q3(进口)'} 获取记录保存成功!
2020-06-04 09:55:39,049 | koubei_autohome.py | INFO  | 车系：{'I': 593, 'N': '奥迪Q5(进口)'} 口碑数据获取中...
2020-06-04 09:55:39,166 | koubei_autohome.py | INFO  | 车系：{'I': 593, 'N': '奥迪Q5(进口)'} 口碑数据获取完成!
2020-06-04 09:55:39,167 | koubei_autohome.py | INFO  | 车系：{'I': 593, 'N': '奥迪Q5(进口)'} 获取记录保存成功!
2020-06-04 09:55:39,168 | koubei_autohome.py | INFO  | 车系：{'I': 412, 'N': '奥迪Q7'} 口碑数据获取中...
2020-06-04 09:55:39,272 | koubei_autohome.py | INFO  | 车系：{'I': 412, 'N': '奥迪Q7'} 口碑数据获取完成!
2020-06-04 09:55:39,273 | koubei_autohome.py | INFO  | 车系：{'I': 412, 'N': '奥迪Q7'} 获取记录保存成功!
2020-06-04 09:55:39,274 | koubei_autohome.py | INFO  | 车系：{'I': 4460, 'N': '奥迪Q7新能源'} 口碑数据获取中...
