2020-06-04 10:39:50,036 | model_koubei.py | INFO  | 车系：4502 口碑：2218082 数据保存成功!
2020-06-04 10:39:51,044 | model_koubei.py | INFO  | 车系：4502 口碑：2217507 数据获取中...
2020-06-04 10:39:51,420 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:51,421 | model_koubei.py | INFO  | 车系：4502 口碑：2217507 数据保存成功!
2020-06-04 10:39:52,424 | model_koubei.py | INFO  | 车系：4502 口碑：2190427 数据获取中...
2020-06-04 10:39:52,675 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:52,675 | model_koubei.py | INFO  | 车系：4502 口碑：2190427 数据保存成功!
2020-06-04 10:39:53,678 | model_koubei.py | INFO  | 车系：4502 口碑：2190351 数据获取中...
2020-06-04 10:39:54,072 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:54,073 | model_koubei.py | INFO  | 车系：4502 口碑：2190351 数据保存成功!
2020-06-04 10:39:55,077 | model_koubei.py | INFO  | 车系：4502 口碑：2176291 数据获取中...
2020-06-04 10:39:55,427 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:55,427 | model_koubei.py | INFO  | 车系：4502 口碑：2176291 数据保存成功!
2020-06-04 10:39:56,432 | model_koubei.py | INFO  | 车系：4502 口碑：2095860 数据获取中...
2020-06-04 10:39:56,735 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:56,735 | model_koubei.py | INFO  | 车系：4502 口碑：2095860 数据保存成功!
2020-06-04 10:39:57,738 | model_koubei.py | INFO  | 车系：4502 口碑：2090933 数据获取中...
2020-06-04 10:39:57,945 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:57,945 | model_koubei.py | INFO  | 车系：4502 口碑：2090933 数据保存成功!
2020-06-04 10:39:58,948 | model_koubei.py | INFO  | 车系：4502 口碑：2037817 数据获取中...
2020-06-04 10:39:59,432 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:59,433 | model_koubei.py | INFO  | 车系：4502 口碑：2037817 数据保存成功!
2020-06-04 10:40:00,440 | model_koubei.py | INFO  | 车系：4502 口碑：1845940 数据获取中...
2020-06-04 10:40:00,618 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:40:00,619 | model_koubei.py | INFO  | 车系：4502 口碑：1845940 数据保存成功!
2020-06-04 10:40:01,624 | model_koubei.py | INFO  | 车系：4502 口碑：2012573 数据获取中...
2020-06-04 10:41:46,237 | model_koubei.py | INFO  | 程序开始时间：2020-06-04 10:41:46.236688
2020-06-04 10:41:46,282 | model_koubei.py | INFO  | 车系：4502 口碑数据获取中...
2020-06-04 10:41:48,628 | model_koubei.py | INFO  | 车系：4502车型口碑ID列表获取完成。
2020-06-04 10:41:48,751 | model_koubei.py | INFO  | 车系：4502 口碑数据获取完成!
2020-06-04 10:41:48,751 | model_koubei.py | INFO  | 程序结束时间：2020-06-04 10:41:48.751093
2020-06-04 10:41:48,752 | model_koubei.py | INFO  | 程序执行用时：0:00:02.514405s
2020-06-04 10:45:24,752 | model_koubei.py | INFO  | 程序开始时间：2020-06-04 10:45:24.752018
2020-06-04 10:45:24,788 | model_koubei.py | INFO  | 车系：4502 口碑数据获取中...
2020-06-04 10:45:47,675 | model_koubei.py | INFO  | 车系：4502车型口碑ID列表获取完成。
2020-06-04 10:45:47,729 | model_koubei.py | INFO  | 车系：4502 口碑数据获取完成!
2020-06-04 10:45:47,730 | model_koubei.py | INFO  | 程序结束时间：2020-06-04 10:45:47.730642
2020-06-04 10:45:47,730 | model_koubei.py | INFO  | 程序执行用时：0:00:22.978624s
